kernel,config_id,src_gpu,tgt_gpu,T_src_ms,T_tgt_true_ms,T_tgt_pred_ms,ratio_pred_over_true,abs_rel_error,config_role
saxpy,saxpy|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA TITAN V,NVIDIA GeForce RTX 4070,0.004415,0.008749,0.006024225916148372,0.6885616546060547,0.3114383453939454,train_extra
saxpy,saxpy|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA TITAN V,NVIDIA GeForce GTX TITAN X,0.004415,0.0509,0.010500754591896422,0.20630166192330887,0.7936983380766911,train_extra
saxpy,saxpy|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA GeForce RTX 4070,0.0509,0.008749,0.029201053738422304,3.337644729503064,2.337644729503064,train_extra
saxpy,saxpy|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.0509,0.004415,0.02140070011477292,4.847270694172802,3.847270694172802,train_extra
shared_bank_conflict,shared_bank_conflict|N=0|rows=0|cols=0|block=1024|iters=0,NVIDIA GeForce RTX 2080 Ti,NVIDIA GeForce RTX 4070,0.000136,0.004916,,,,baseline
shared_bank_conflict,shared_bank_conflict|N=0|rows=0|cols=0|block=1024|iters=0,NVIDIA GeForce RTX 2080 Ti,NVIDIA TITAN V,0.000136,0.001354,,,,baseline
shared_bank_conflict,shared_bank_conflict|N=0|rows=0|cols=0|block=1024|iters=0,NVIDIA GeForce RTX 4070,NVIDIA GeForce RTX 2080 Ti,0.004916,0.000136,,,,baseline
shared_bank_conflict,shared_bank_conflict|N=0|rows=0|cols=0|block=1024|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.004916,0.001354,,,,baseline
shared_bank_conflict,shared_bank_conflict|N=0|rows=0|cols=0|block=1024|iters=0,NVIDIA TITAN V,NVIDIA GeForce RTX 2080 Ti,0.001354,0.000136,,,,baseline
shared_bank_conflict,shared_bank_conflict|N=0|rows=0|cols=0|block=1024|iters=0,NVIDIA TITAN V,NVIDIA GeForce RTX 4070,0.001354,0.004916,,,,baseline
strided_copy_8,strided_copy_8|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.008567,0.003612,0.0062785336284636815,1.7382429757651388,0.7382429757651388,train_extra
strided_copy_8,strided_copy_8|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA GeForce GTX TITAN X,0.008567,0.036574,0.014933033030456651,0.4082964135849688,0.5917035864150312,train_extra
strided_copy_8,strided_copy_8|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA TITAN V,NVIDIA GeForce RTX 4070,0.003612,0.008567,0.004928539979417424,0.5752935659411024,0.42470643405889763,train_extra
strided_copy_8,strided_copy_8|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA TITAN V,NVIDIA GeForce GTX TITAN X,0.003612,0.036574,0.008590877822407675,0.23489029973225992,0.7651097002677402,train_extra
strided_copy_8,strided_copy_8|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA GeForce RTX 4070,0.036574,0.008567,0.02098230529330171,2.4492010380882117,1.4492010380882117,train_extra
strided_copy_8,strided_copy_8|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.036574,0.003612,0.015377391080504997,4.25730650069352,3.2573065006935207,train_extra
vector_add,vector_add|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.009259,0.00429,0.006785682603705526,1.5817441966679546,0.5817441966679546,train_extra
vector_add,vector_add|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA GeForce GTX TITAN X,0.009259,0.050877,0.016139249775767264,0.3172209402238195,0.6827790597761805,train_extra
vector_add,vector_add|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA TITAN V,NVIDIA GeForce RTX 4070,0.00429,0.009259,0.005853664593494116,0.6322134780747506,0.3677865219252494,train_extra
vector_add,vector_add|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA TITAN V,NVIDIA GeForce GTX TITAN X,0.00429,0.050877,0.010203451234254963,0.2005513539370435,0.7994486460629564,train_extra
vector_add,vector_add|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA GeForce RTX 4070,0.050877,0.009259,0.029187858763255622,3.152377012987971,2.152377012987971,train_extra
vector_add,vector_add|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.050877,0.00429,0.021391029857353666,4.986254046003185,3.9862540460031846,train_extra
