kernel,config_id,src_gpu,tgt_gpu,T_src_ms,T_tgt_true_ms,T_tgt_pred_ms,ratio_pred_over_true,abs_rel_error,config_role
matmul_tiled,matmul_tiled|N=0|rows=512|cols=512|block=1024|iters=0,NVIDIA GeForce RTX 2080 Ti,NVIDIA TITAN V,0.000784,0.095146,0.0013233914881937074,0.013909060687718952,0.9860909393122811,other
matmul_tiled,matmul_tiled|N=0|rows=512|cols=512|block=1024|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.168544,0.095146,0.2859858716379453,3.0057582203975506,2.00575822039755,other
matmul_tiled,matmul_tiled|N=0|rows=512|cols=512|block=1024|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.311206,0.095146,0.14329221599246295,1.5060245937029717,0.5060245937029718,other
naive_transpose,naive_transpose|N=0|rows=1024|cols=1024|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.031663,0.032594,0.023204997114281027,0.7119407594735543,0.2880592405264457,train_extra
naive_transpose,naive_transpose|N=0|rows=1024|cols=1024|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.105726,0.032594,0.04445207112641417,1.3638114722468604,0.36381147224686045,train_extra
naive_transpose,naive_transpose|N=0|rows=2048|cols=2048|block=256|iters=0,NVIDIA GeForce RTX 2080 Ti,NVIDIA TITAN V,6.8e-05,0.124528,6.033034923757992e-05,0.0004844721607797437,0.9995155278392203,other
naive_transpose,naive_transpose|N=0|rows=2048|cols=2048|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.124216,0.124528,0.09103470680439417,0.731038054127539,0.2689619458724611,other
naive_transpose,naive_transpose|N=0|rows=2048|cols=2048|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.396715,0.124528,0.16679722487292997,1.3394355074596072,0.33943550745960727,other
naive_transpose,naive_transpose|N=0|rows=3072|cols=3072|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.341242,0.279024,0.250087471979013,0.8962937667692134,0.10370623323078662,other
naive_transpose,naive_transpose|N=0|rows=512|cols=512|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.009424,0.010087,0.0069066068535825545,0.6847037626234316,0.3152962373765684,baseline
naive_transpose,naive_transpose|N=0|rows=512|cols=512|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.028022,0.010087,0.01178173710444335,1.1680120059922028,0.1680120059922028,baseline
random_access,random_access|N=1048576|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 2080 Ti,NVIDIA TITAN V,0.000154,0.017387,0.00013663049680275456,0.007858198470279782,0.9921418015297202,other
random_access,random_access|N=1048576|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.009324,0.017387,0.006833319429414659,0.3930131379429838,0.6069868620570162,other
random_access,random_access|N=1048576|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.036018,0.017387,0.015143623118544025,0.8709738953553819,0.12902610464461806,other
random_access,random_access|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.008575,0.003961,0.006284396622397116,1.5865681955054571,0.5865681955054571,train_extra
random_access,random_access|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.036032,0.003961,0.015149509362190524,3.824667852105661,2.824667852105661,train_extra
random_access,random_access|N=4194304|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.026545,0.060557,0.019454146745368096,0.32125347598738535,0.6787465240126147,other
random_access,random_access|N=4194304|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.036028,0.060557,0.015147827578291521,0.25014164470319733,0.7498583552968027,other
random_access,random_access|N=8388608|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.15142,0.117917,0.11097181767502871,0.9411010937780704,0.05889890622192967,test_extra
reduce_sum,reduce_sum|N=1048576|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 2080 Ti,NVIDIA TITAN V,0.00013,0.008398,0.00011533743236596162,0.013733916690397908,0.9862660833096022,other
reduce_sum,reduce_sum|N=1048576|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.013651,0.008398,0.010004466273159533,1.1912915305024452,0.19129153050244513,other
reduce_sum,reduce_sum|N=1048576|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.037699,0.008398,0.015850392802098708,1.8874009052272815,0.8874009052272814,other
reduce_sum,reduce_sum|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.009216,0.004031,0.006754169011313331,1.675556688492516,0.6755566884925159,train_extra
reduce_sum,reduce_sum|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.0378,0.004031,0.015892857845548447,3.942658855258856,2.942658855258856,train_extra
reduce_sum,reduce_sum|N=4194304|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.048086,0.030552,0.035240990785374654,1.1534757392437371,0.15347573924373706,other
reduce_sum,reduce_sum|N=4194304|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.037746,0.030552,0.015870153762911954,0.5194472951987417,0.4805527048012584,other
reduce_sum,reduce_sum|N=8388608|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.09398,0.056742,0.06887552123298903,1.2138366859291005,0.21383668592910057,test_extra
saxpy,saxpy|N=1048576|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 2080 Ti,NVIDIA TITAN V,5.4e-05,0.024558,4.7909394982784074e-05,0.0019508671301728185,0.9980491328698271,other
saxpy,saxpy|N=1048576|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.009261,0.024558,0.006787148352188883,0.27637219448606903,0.723627805513931,other
saxpy,saxpy|N=1048576|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.051077,0.024558,0.021475119052303655,0.8744653087508615,0.12553469124913855,other
saxpy,saxpy|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.008749,0.004415,0.006411916740449256,1.4523027724686877,0.4523027724686877,train_extra
saxpy,saxpy|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.0509,0.004415,0.02140070011477292,4.847270694172802,3.847270694172802,train_extra
saxpy,saxpy|N=4194304|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.108559,0.086258,0.07956009480242665,0.9223503304322689,0.07764966956773112,other
saxpy,saxpy|N=4194304|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.051189,0.086258,0.021522209001475653,0.24950971505803118,0.7504902849419688,other
saxpy,saxpy|N=8388608|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.224415,0.168407,0.16446797294638468,0.9766100752723146,0.02338992472768542,test_extra
shared_bank_conflict,shared_bank_conflict|N=0|rows=0|cols=0|block=1024|iters=0,NVIDIA GeForce RTX 2080 Ti,NVIDIA TITAN V,0.000136,0.001354,,,,baseline
shared_bank_conflict,shared_bank_conflict|N=0|rows=0|cols=0|block=1024|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.004916,0.001354,,,,baseline
shared_transpose,shared_transpose|N=0|rows=1024|cols=1024|block=1024|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.013152,0.017281,0.006425841351041154,0.3718443001586224,0.6281556998413775,train_extra
shared_transpose,shared_transpose|N=0|rows=1024|cols=1024|block=1024|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.039154,0.017281,0.016462141695359894,0.9526151088108266,0.04738489118917348,train_extra
shared_transpose,shared_transpose|N=0|rows=2048|cols=2048|block=1024|iters=0,NVIDIA GeForce RTX 2080 Ti,NVIDIA TITAN V,0.000138,0.062875,0.00012243512051155926,0.0019472782586331492,0.9980527217413668,other
shared_transpose,shared_transpose|N=0|rows=2048|cols=2048|block=1024|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.046822,0.062875,0.02287642516259496,0.36383976401741486,0.6361602359825852,other
shared_transpose,shared_transpose|N=0|rows=2048|cols=2048|block=1024|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.145273,0.062875,0.0610794480898508,0.9714425143515037,0.028557485648496198,other
shared_transpose,shared_transpose|N=0|rows=3072|cols=3072|block=1024|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.231908,0.148066,0.1133062664261901,0.7652416248577668,0.23475837514223322,other
shared_transpose,shared_transpose|N=0|rows=512|cols=512|block=1024|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.008164,0.003906,0.003988790206044707,1.0211956492689982,0.021195649268998213,baseline
shared_transpose,shared_transpose|N=0|rows=512|cols=512|block=1024|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.008741,0.003906,0.0036751182652893922,0.9408904929056303,0.05910950709436967,baseline
strided_copy_8,strided_copy_8|N=1048576|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 2080 Ti,NVIDIA TITAN V,0.000109,0.015892,9.670600098376783e-05,0.006085200162582924,0.9939147998374172,other
strided_copy_8,strided_copy_8|N=1048576|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.009288,0.015892,0.006806935956714215,0.4283246889450173,0.5716753110549827,other
strided_copy_8,strided_copy_8|N=1048576|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.036573,0.015892,0.015376970634530257,0.9675919100509852,0.0324080899490148,other
strided_copy_8,strided_copy_8|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.008567,0.003612,0.0062785336284636815,1.7382429757651388,0.7382429757651388,train_extra
strided_copy_8,strided_copy_8|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.036574,0.003612,0.015377391080504997,4.25730650069352,3.2573065006935207,train_extra
strided_copy_8,strided_copy_8|N=4194304|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.028536,0.059458,0.020913299360550912,0.3517323044931029,0.6482676955068971,other
strided_copy_8,strided_copy_8|N=4194304|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.036593,0.059458,0.015385379554025252,0.2587604620744938,0.7412395379255061,other
strided_copy_8,strided_copy_8|N=8388608|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.161892,0.115339,0.11864647673389082,1.028676134992421,0.028676134992420835,test_extra
vector_add_divergent,vector_add_divergent|N=1048576|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 2080 Ti,NVIDIA TITAN V,0.000145,0.083487,0.00012864559763895722,0.001540905741480197,0.9984590942585198,other
vector_add_divergent,vector_add_divergent|N=1048576|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.054217,0.083487,0.03973424276110839,0.47593329214258967,0.5240667078574103,other
vector_add_divergent,vector_add_divergent|N=1048576|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.166638,0.083487,0.07006227634038367,0.8391998315951426,0.16080016840485742,other
vector_add_divergent,vector_add_divergent|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.015429,0.022632,0.011307516674864734,0.49962516237472315,0.5003748376252769,train_extra
vector_add_divergent,vector_add_divergent|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.166626,0.022632,0.07005723098868666,3.09549447634706,2.09549447634706,train_extra
vector_add_divergent,vector_add_divergent|N=4194304|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.212675,0.319112,0.15586402934907365,0.48843048631538033,0.5115695136846197,other
vector_add_divergent,vector_add_divergent|N=4194304|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.16664,0.319112,0.07006311723233317,0.21955651066814527,0.7804434893318548,other
vector_add_divergent,vector_add_divergent|N=8388608|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.421737,0.632452,0.3090801840629612,0.48870140985080485,0.5112985901491952,test_extra
vector_add,vector_add|N=1048576|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 2080 Ti,NVIDIA TITAN V,0.000102,0.024504,9.049552385636992e-05,0.003693091897501221,0.9963069081024988,other
vector_add,vector_add|N=1048576|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.009395,0.024504,0.006885353500573865,0.2809889610093807,0.7190110389906194,other
vector_add,vector_add|N=1048576|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.050905,0.024504,0.021402802344646664,0.8734411665298181,0.1265588334701819,other
vector_add,vector_add|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.009259,0.00429,0.006785682603705526,1.5817441966679546,0.5817441966679546,train_extra
vector_add,vector_add|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.050877,0.00429,0.021391029857353666,4.986254046003185,3.9862540460031846,train_extra
vector_add,vector_add|N=4194304|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.108545,0.086179,0.07954983456304311,0.9230767885800846,0.07692321141991544,other
vector_add,vector_add|N=4194304|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.051178,0.086179,0.021517584095753408,0.24968477350344523,0.7503152264965547,other
vector_add,vector_add|N=8388608|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.224427,0.168345,0.16447676743728482,0.9770219931526616,0.02297800684733838,test_extra
