kernel,args,regs,shmem,device_name,block_x,block_y,block_z,grid_x,grid_y,grid_z,warmup,reps,trials,mean_ms,std_ms,N,rows,cols,block,grid_blocks,size_kind,FLOPs,BYTES,arithmetic_intensity,working_set_bytes,shared_bytes,mem_pattern,conv_padding,gpu_device_name,gpu_cc_major,gpu_cc_minor,gpu_sms,gpu_max_threads_per_sm,gpu_max_blocks_per_sm,gpu_regs_per_sm,gpu_shared_mem_per_sm,gpu_l2_bytes,gpu_warp_size,calibrated_mem_bandwidth_gbps,calibrated_compute_gflops,achieved_bandwidth_gbps,achieved_compute_gflops
strided_copy_8,--N 1048576 --block 256 --warmup 20 --reps 100,8,0,NVIDIA GeForce RTX 4070,256,1,1,4096,1,1,20,100,10,0.009340,0.000202,1048576,0,0,256,4096,N,0,8388608,0.000000,8388608,0,strided_8,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,898.14,0.00
strided_copy_8,--N 4194304 --block 256 --warmup 20 --reps 100,8,0,NVIDIA GeForce RTX 4070,256,1,1,16384,1,1,20,100,10,0.028868,0.000031,4194304,0,0,256,16384,N,0,33554432,0.000000,33554432,0,strided_8,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,1162.34,0.00
strided_copy_8,--N 16777216 --block 256 --warmup 20 --reps 100,8,0,NVIDIA GeForce RTX 4070,256,1,1,65536,1,1,20,100,10,0.322753,0.000046,16777216,0,0,256,65536,N,0,134217728,0.000000,134217728,0,strided_8,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,415.85,0.00
vector_add,--N 262144 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 4070,256,1,1,1024,1,1,20,100,10,0.008946,0.000464,262144,0,0,256,1024,N,262144,3145728,0.083333,3145728,0,coalesced,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,351.64,29.30
vector_add,--N 1048576 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 4070,256,1,1,4096,1,1,20,100,10,0.009351,0.000265,1048576,0,0,256,4096,N,1048576,12582912,0.083333,12582912,0,coalesced,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,1345.62,112.14
vector_add,--N 4194304 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 4070,256,1,1,16384,1,1,20,100,10,0.106451,0.000240,4194304,0,0,256,16384,N,4194304,50331648,0.083333,50331648,0,coalesced,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,472.82,39.40
vector_add,--N 16777216 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 4070,256,1,1,65536,1,1,20,100,10,0.449989,0.000103,16777216,0,0,256,65536,N,16777216,201326592,0.083333,201326592,0,coalesced,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,447.40,37.28
vector_add_divergent,--N 262144 --block 256 --warmup 20 --reps 100,15,0,NVIDIA GeForce RTX 4070,256,1,1,1024,1,1,20,100,10,0.015417,0.000041,262144,0,0,256,1024,N,262144,3145728,0.083333,3145728,0,divergent,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,204.04,17.00
vector_add_divergent,--N 1048576 --block 256 --warmup 20 --reps 100,15,0,NVIDIA GeForce RTX 4070,256,1,1,4096,1,1,20,100,10,0.054719,0.001459,1048576,0,0,256,4096,N,1048576,12582912,0.083333,12582912,0,divergent,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,229.96,19.16
vector_add_divergent,--N 4194304 --block 256 --warmup 20 --reps 100,15,0,NVIDIA GeForce RTX 4070,256,1,1,16384,1,1,20,100,10,0.212610,0.000021,4194304,0,0,256,16384,N,4194304,50331648,0.083333,50331648,0,divergent,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,236.73,19.73
vector_add_divergent,--N 16777216 --block 256 --warmup 20 --reps 100,15,0,NVIDIA GeForce RTX 4070,256,1,1,65536,1,1,20,100,10,0.840235,0.000058,16777216,0,0,256,65536,N,16777216,201326592,0.083333,201326592,0,divergent,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,239.61,19.97
