kernel,args,regs,shmem,device_name,block_x,block_y,block_z,grid_x,grid_y,grid_z,warmup,reps,trials,mean_ms,std_ms,rows,cols,iters,block,grid_blocks,size_kind,N,FLOPs,BYTES,arithmetic_intensity,working_set_bytes,shared_bytes,mem_pattern,conv_padding,gpu_device_name,gpu_cc_major,gpu_cc_minor,gpu_sms,gpu_max_threads_per_sm,gpu_max_blocks_per_sm,gpu_regs_per_sm,gpu_shared_mem_per_sm,gpu_l2_bytes,gpu_warp_size,calibrated_mem_bandwidth_gbps,calibrated_compute_gflops,achieved_bandwidth_gbps,achieved_compute_gflops
matmul_naive,--rows 128 --cols 128 --warmup 10 --reps 50,40,0,NVIDIA GeForce GTX TITAN X,16,16,1,32,32,1,10,50,10,0.574897,0.000357,128,128,0,256,1024,rows_cols,0,4194304,196608,21.333333,196608,0,mm_naive,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,0.34,7.30
matmul_naive,--rows 256 --cols 256 --warmup 10 --reps 50,40,0,NVIDIA GeForce GTX TITAN X,16,16,1,32,32,1,10,50,10,0.667630,0.000475,256,256,0,256,1024,rows_cols,0,33554432,786432,42.666667,786432,0,mm_naive,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,1.18,50.26
matmul_naive,--rows 512 --cols 512 --warmup 10 --reps 50,40,0,NVIDIA GeForce GTX TITAN X,16,16,1,32,32,1,10,50,10,0.666912,0.000693,512,512,0,256,1024,rows_cols,0,268435456,3145728,85.333333,3145728,0,mm_naive,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,4.72,402.51
matmul_naive,--rows 1024 --cols 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce GTX TITAN X,16,16,1,32,32,1,10,50,10,0.666831,0.000686,1024,1024,0,256,1024,rows_cols,0,2147483648,12582912,170.666667,12582912,0,mm_naive,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,18.87,3220.43
matmul_naive,--rows 2048 --cols 2048 --warmup 10 --reps 50,40,0,NVIDIA GeForce GTX TITAN X,16,16,1,32,32,1,10,50,10,0.666934,0.000521,2048,2048,0,256,1024,rows_cols,0,17179869184,50331648,341.333333,50331648,0,mm_naive,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,75.47,25759.47
matmul_tiled,--rows 128 --cols 128 --warmup 10 --reps 50,37,8192,NVIDIA GeForce GTX TITAN X,32,32,1,16,16,1,10,50,10,0.269027,0.000145,128,128,0,1024,256,rows_cols,0,4194304,196608,21.333333,196608,8192,mm_tiled,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,0.73,15.59
matmul_tiled,--rows 256 --cols 256 --warmup 10 --reps 50,37,8192,NVIDIA GeForce GTX TITAN X,32,32,1,16,16,1,10,50,10,0.269090,0.000095,256,256,0,1024,256,rows_cols,0,33554432,786432,42.666667,786432,8192,mm_tiled,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,2.92,124.70
matmul_tiled,--rows 512 --cols 512 --warmup 10 --reps 50,37,8192,NVIDIA GeForce GTX TITAN X,32,32,1,16,16,1,10,50,10,0.311206,0.000164,512,512,0,1024,256,rows_cols,0,268435456,3145728,85.333333,3145728,8192,mm_tiled,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,10.11,862.57
matmul_tiled,--rows 1024 --cols 1024 --warmup 10 --reps 50,37,8192,NVIDIA GeForce GTX TITAN X,32,32,1,16,16,1,10,50,10,0.311291,0.000121,1024,1024,0,1024,256,rows_cols,0,2147483648,12582912,170.666667,12582912,8192,mm_tiled,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,40.42,6898.64
matmul_tiled,--rows 2048 --cols 2048 --warmup 10 --reps 50,37,8192,NVIDIA GeForce GTX TITAN X,32,32,1,16,16,1,10,50,10,0.311182,0.000121,2048,2048,0,1024,256,rows_cols,0,17179869184,50331648,341.333333,50331648,8192,mm_tiled,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,161.74,55208.43
