kernel,args,regs,shmem,device_name,block_x,block_y,block_z,grid_x,grid_y,grid_z,warmup,reps,trials,mean_ms,std_ms,N,rows,cols,iters,block,grid_blocks,size_kind,FLOPs,BYTES,arithmetic_intensity,working_set_bytes,shared_bytes,mem_pattern,conv_padding,gpu_device_name,gpu_cc_major,gpu_cc_minor,gpu_sms,gpu_max_threads_per_sm,gpu_max_blocks_per_sm,gpu_regs_per_sm,gpu_shared_mem_per_sm,gpu_l2_bytes,gpu_warp_size,calibrated_mem_bandwidth_gbps,calibrated_compute_gflops,achieved_bandwidth_gbps,achieved_compute_gflops
shared_transpose,--rows 512 --cols 512 --warmup 20 --reps 100,10,4224,NVIDIA TITAN V,32,32,1,16,16,1,20,100,10,0.003906,0.000027,0,512,512,0,1024,256,rows_cols,0,2097152,0.000000,2097152,4224,transpose_tiled,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,536.91,0.00
shared_transpose,--rows 1024 --cols 1024 --warmup 20 --reps 100,10,4224,NVIDIA TITAN V,32,32,1,32,32,1,20,100,10,0.017281,0.000028,0,1024,1024,0,1024,1024,rows_cols,0,8388608,0.000000,8388608,4224,transpose_tiled,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,485.42,0.00
shared_transpose,--rows 2048 --cols 2048 --warmup 20 --reps 100,10,4224,NVIDIA TITAN V,32,32,1,64,64,1,20,100,10,0.062875,0.000044,0,2048,2048,0,1024,4096,rows_cols,0,33554432,0.000000,33554432,4224,transpose_tiled,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,533.67,0.00
shared_transpose,--rows 3072 --cols 3072 --warmup 20 --reps 100,10,4224,NVIDIA TITAN V,32,32,1,96,96,1,20,100,10,0.148066,0.000069,0,3072,3072,0,1024,9216,rows_cols,0,75497472,0.000000,75497472,4224,transpose_tiled,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,509.89,0.00
strided_copy_8,--N 262144 --block 256 --warmup 20 --reps 100,8,0,NVIDIA TITAN V,256,1,1,1024,1,1,20,100,10,0.003612,0.000024,262144,0,0,0,256,1024,N,0,2097152,0.000000,2097152,0,strided_8,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,580.61,0.00
strided_copy_8,--N 1048576 --block 256 --warmup 20 --reps 100,8,0,NVIDIA TITAN V,256,1,1,4096,1,1,20,100,10,0.015892,0.000032,1048576,0,0,0,256,4096,N,0,8388608,0.000000,8388608,0,strided_8,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,527.85,0.00
strided_copy_8,--N 4194304 --block 256 --warmup 20 --reps 100,8,0,NVIDIA TITAN V,256,1,1,16384,1,1,20,100,10,0.059458,0.000037,4194304,0,0,0,256,16384,N,0,33554432,0.000000,33554432,0,strided_8,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,564.34,0.00
strided_copy_8,--N 8388608 --block 256 --warmup 20 --reps 100,8,0,NVIDIA TITAN V,256,1,1,32768,1,1,20,100,10,0.115339,0.000042,8388608,0,0,0,256,32768,N,0,67108864,0.000000,67108864,0,strided_8,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,581.84,0.00
vector_add_divergent,--N 262144 --block 256 --warmup 20 --reps 100,15,0,NVIDIA TITAN V,256,1,1,1024,1,1,20,100,10,0.022632,0.000026,262144,0,0,0,256,1024,N,262144,3145728,0.083333,3145728,0,divergent,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,138.99,11.58
vector_add_divergent,--N 1048576 --block 256 --warmup 20 --reps 100,15,0,NVIDIA TITAN V,256,1,1,4096,1,1,20,100,10,0.083487,0.000038,1048576,0,0,0,256,4096,N,1048576,12582912,0.083333,12582912,0,divergent,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,150.72,12.56
vector_add_divergent,--N 4194304 --block 256 --warmup 20 --reps 100,15,0,NVIDIA TITAN V,256,1,1,16384,1,1,20,100,10,0.319112,0.000623,4194304,0,0,0,256,16384,N,4194304,50331648,0.083333,50331648,0,divergent,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,157.72,13.14
vector_add_divergent,--N 8388608 --block 256 --warmup 20 --reps 100,15,0,NVIDIA TITAN V,256,1,1,32768,1,1,20,100,10,0.632452,0.000890,8388608,0,0,0,256,32768,N,8388608,100663296,0.083333,100663296,0,divergent,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,159.16,13.26
vector_add,--N 262144 --block 256 --warmup 20 --reps 100,12,0,NVIDIA TITAN V,256,1,1,1024,1,1,20,100,10,0.004290,0.000029,262144,0,0,0,256,1024,N,262144,3145728,0.083333,3145728,0,coalesced,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,733.27,61.11
vector_add,--N 1048576 --block 256 --warmup 20 --reps 100,12,0,NVIDIA TITAN V,256,1,1,4096,1,1,20,100,10,0.024504,0.000029,1048576,0,0,0,256,4096,N,1048576,12582912,0.083333,12582912,0,coalesced,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,513.50,42.79
vector_add,--N 4194304 --block 256 --warmup 20 --reps 100,12,0,NVIDIA TITAN V,256,1,1,16384,1,1,20,100,10,0.086179,0.000034,4194304,0,0,0,256,16384,N,4194304,50331648,0.083333,50331648,0,coalesced,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,584.04,48.67
vector_add,--N 8388608 --block 256 --warmup 20 --reps 100,12,0,NVIDIA TITAN V,256,1,1,32768,1,1,20,100,10,0.168345,0.000021,8388608,0,0,0,256,32768,N,8388608,100663296,0.083333,100663296,0,coalesced,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,597.96,49.83
